case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
hybrid_2x4_shm,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.035178,0.000068,0.000059,0.034969,0.000000,0.000000,0.000082,0.000000,0.000000,0.998333,0.001667,0.994058,0.000002,0.000001,56.853041,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
pipeline_final_b1000,2,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.040453,0.000083,0.040224,0.000233,0.000000,0.000003,0.000100,0.000000,0.000000,0.010344,0.994341,0.005749,0.000000,0.000074,24719.943435,1000000,529280,1000000,1026622357111743000,1,2004,1,1000,1000,0,0,0,ok
pipeline_interactive_b1000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.037938,0.000093,0.037727,0.039378,0.000000,0.000046,0.000092,0.000000,0.000000,1.000000,0.994415,1.000000,0.000000,0.001207,26358.506208,1000000,529280,1000000,1026622357111743000,1,4005,728,2000,2000,0,0,0,ok
pipeline_interactive_b100,2,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,skewed,8,50000,10000,0.070784,0.000122,0.070562,0.216258,0.000000,0.000823,0.000083,0.000000,0.000000,1.000000,0.996863,1.000000,0.000000,0.011626,141274.447243,1000000,529280,1000000,1026622357111743000,1,40005,4751,20000,20000,0,0,0,ok
pipeline_interactive_b10000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,skewed,8,50000,10000,0.036865,0.000093,0.036673,0.036689,0.000000,0.000014,0.000086,0.000000,0.000000,1.000000,0.994781,0.995225,0.000000,0.000382,2712.572434,1000000,529280,1000000,1026622357111743000,1,405,90,200,200,0,0,0,ok
seq,3,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.126924,0.000068,0.126776,0.000000,0.000000,0.000000,0.000080,0.000000,0.000000,0.001165,0.998834,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_1_reduce,3,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.127490,0.000068,0.127331,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.001221,0.998754,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_2_reduce,3,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.082335,0.000074,0.082171,0.000000,0.000000,0.000000,0.000086,0.000000,0.000000,0.001950,0.998008,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_reduce,3,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060401,0.000068,0.060241,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.002594,0.997355,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_8_reduce,3,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.037449,0.000069,0.037285,0.000000,0.000000,0.000000,0.000091,0.000000,0.000000,0.004289,0.995613,0.000000,0.000000,0.000004,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_mutex,3,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.188992,0.000085,0.188811,0.325983,0.000000,0.000000,0.000093,0.000000,0.000000,1.000000,0.999042,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok
thread_4_nosync,3,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.063390,0.000084,0.063167,0.000000,0.000000,0.000000,0.000136,0.000000,0.000000,0.003471,0.996482,0.000000,0.000000,0.000003,0.000000,702189,433802,882905,2339393420951361906,0,0,0,0,0,0,0,0,ok
process_1_pipe,3,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.132798,0.000107,0.000085,0.132522,0.000002,0.000000,0.000083,0.000000,0.000000,0.999362,0.000638,0.997917,0.000016,0.000000,7.530208,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_1_shm,3,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.126287,0.000068,0.000033,0.126097,0.000000,0.000000,0.000089,0.000000,0.000000,0.999736,0.000264,0.998495,0.000001,0.000000,7.918464,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_2_pipe,3,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.081096,0.000068,0.000057,0.080880,0.000002,0.000000,0.000088,0.000000,0.000000,0.999292,0.000708,0.997337,0.000020,0.000001,24.661990,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_2_shm,3,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.081311,0.000069,0.000068,0.081086,0.000000,0.000000,0.000087,0.000000,0.000000,0.999163,0.000837,0.997241,0.000002,0.000001,24.597069,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_4_pipe,3,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060245,0.000070,0.000108,0.059984,0.000002,0.000000,0.000082,0.000000,0.000000,0.998209,0.001791,0.995670,0.000028,0.000002,66.395231,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
process_4_shm,3,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.061690,0.000076,0.000109,0.061418,0.000000,0.000000,0.000087,0.000000,0.000000,0.998235,0.001765,0.995587,0.000001,0.000002,64.840375,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
hybrid_2x2,3,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.061046,0.000068,0.000057,0.060827,0.000001,0.000000,0.000092,0.000000,0.000000,0.999061,0.000939,0.996417,0.000025,0.000001,32.762358,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
hybrid_2x4,3,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.034610,0.000076,0.000052,0.034395,0.000001,0.000000,0.000086,0.000000,0.000000,0.998501,0.001499,0.993788,0.000036,0.000001,57.786211,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
hybrid_4x2,3,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.034774,0.000071,0.000101,0.034518,0.000002,0.000000,0.000082,0.000000,0.000000,0.997096,0.002904,0.992648,0.000060,0.000005,115.028056,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
hybrid_2x4_shm,3,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.036883,0.000068,0.000050,0.036681,0.000000,0.000000,0.000084,0.000000,0.000000,0.998644,0.001356,0.994521,0.000003,0.000002,54.225769,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
pipeline_final_b1000,3,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.035746,0.000074,0.035553,0.000081,0.000000,0.000003,0.000096,0.000000,0.000000,0.007089,0.994614,0.002263,0.000000,0.000084,27975.223016,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok
pipeline_interactive_b1000,3,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.037756,0.000091,0.037544,0.038589,0.000000,0.000064,0.000095,0.000000,0.000000,1.000000,0.994396,1.000000,0.000000,0.001697,26485.973704,1000000,529280,1000000,1026622357111743000,1,4005,734,2000,2000,0,0,0,ok
pipeline_interactive_b100,3,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,skewed,8,50000,10000,0.073323,0.000122,0.073095,0.226669,0.000000,0.000832,0.000091,0.000000,0.000000,1.000000,0.996900,1.000000,0.000000,0.011348,136383.395218,1000000,529280,1000000,1026622357111743000,1,40005,4653,20000,20000,0,0,0,ok
pipeline_interactive_b10000,3,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,skewed,8,50000,10000,0.036836,0.000072,0.036655,0.036775,0.000000,0.000007,0.000095,0.000000,0.000000,1.000000,0.995086,0.998343,0.000000,0.000200,2714.704853,1000000,529280,1000000,1026622357111743000,1,405,48,200,200,0,0,0,ok
seq,4,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.127710,0.000088,0.127542,0.000000,0.000000,0.000000,0.000080,0.000000,0.000000,0.001316,0.998684,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_1_reduce,4,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.128127,0.000069,0.127962,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.001263,0.998712,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_2_reduce,4,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.081925,0.000074,0.081749,0.000000,0.000000,0.000000,0.000099,0.000000,0.000000,0.002109,0.997854,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_reduce,4,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060731,0.000068,0.060572,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.002572,0.997379,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_8_reduce,4,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.035159,0.000084,0.034979,0.000000,0.000000,0.000000,0.000092,0.000000,0.000000,0.005022,0.994878,0.000000,0.000000,0.000006,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_mutex,4,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.192432,0.000091,0.192249,0.330936,0.000000,0.000000,0.000090,0.000000,0.000000,1.000000,0.999046,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok
thread_4_nosync,4,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.061412,0.000076,0.061241,0.000000,0.000000,0.000000,0.000092,0.000000,0.000000,0.002732,0.997215,0.000000,0.000000,0.000001,0.000000,709127,430494,849802,11444571589147950173,0,0,0,0,0,0,0,0,ok
process_1_pipe,4,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.126686,0.000076,0.000061,0.126458,0.000001,0.000000,0.000090,0.000000,0.000000,0.999518,0.000482,0.998198,0.000010,0.000000,7.893537,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_1_shm,4,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.127281,0.000068,0.000046,0.127083,0.000000,0.000000,0.000084,0.000000,0.000000,0.999642,0.000358,0.998445,0.000000,0.000000,7.856612,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_2_pipe,4,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.082227,0.000068,0.000054,0.082012,0.000001,0.000000,0.000092,0.000000,0.000000,0.999343,0.000657,0.997383,0.000016,0.000001,24.322812,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_2_shm,4,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.082724,0.000072,0.000053,0.082510,0.000000,0.000000,0.000089,0.000000,0.000000,0.999356,0.000644,0.997411,0.000002,0.000002,24.176732,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_4_pipe,4,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060479,0.000068,0.000110,0.060210,0.000003,0.000000,0.000088,0.000000,0.000000,0.998178,0.001822,0.995547,0.000045,0.000001,66.138296,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
process_4_shm,4,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.060379,0.000087,0.000107,0.060095,0.000000,0.000000,0.000090,0.000000,0.000000,0.998228,0.001772,0.995291,0.000003,0.000001,66.247925,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
hybrid_2x2,4,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060802,0.000094,0.000064,0.060550,0.000002,0.000000,0.000092,0.000000,0.000000,0.998943,0.001057,0.995850,0.000031,0.000001,32.893565,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
