case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
process_1_pipe,3,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.094471,0.000082,0.000032,0.094272,0.000002,0.000000,0.000083,0.000000,0.000000,0.999661,0.000339,0.997892,0.000024,0.000000,10.585264,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_1_shm,3,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.094920,0.000096,0.000033,0.094699,0.000000,0.000000,0.000092,0.000000,0.000000,0.999650,0.000350,0.997670,0.000001,0.000000,10.535155,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_2_pipe,3,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.047711,0.000068,0.000074,0.047486,0.000001,0.000000,0.000081,0.000000,0.000000,0.998439,0.001561,0.995284,0.000027,0.000002,41.919494,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_2_shm,3,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.047207,0.000068,0.000058,0.046988,0.000000,0.000000,0.000092,0.000000,0.000000,0.998763,0.001237,0.995378,0.000003,0.000001,42.366972,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_4_pipe,3,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026096,0.000096,0.000125,0.025767,0.000002,0.000000,0.000106,0.000000,0.000000,0.995221,0.004779,0.987416,0.000062,0.000002,153.282892,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
process_4_shm,3,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.026125,0.000068,0.000122,0.025842,0.000000,0.000000,0.000092,0.000000,0.000000,0.995322,0.004678,0.989190,0.000008,0.000003,153.111267,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
hybrid_2x2,3,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026243,0.000075,0.000055,0.026032,0.000001,0.000000,0.000079,0.000000,0.000000,0.997911,0.002089,0.991990,0.000035,0.000003,76.212010,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
hybrid_2x4,3,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.021720,0.000068,0.000055,0.021513,0.000001,0.000000,0.000083,0.000000,0.000000,0.997475,0.002525,0.990466,0.000046,0.000004,92.080145,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
hybrid_4x2,3,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.017809,0.000068,0.000097,0.017549,0.000002,0.000000,0.000093,0.000000,0.000000,0.994537,0.005463,0.985382,0.000129,0.000005,224.607113,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
hybrid_2x4_shm,3,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.019356,0.000068,0.000054,0.019148,0.000000,0.000000,0.000086,0.000000,0.000000,0.997221,0.002779,0.989252,0.000006,0.000002,103.324913,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
pipeline_final_b1000,3,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026119,0.000074,0.025931,0.000069,0.000000,0.000003,0.000090,0.000000,0.000000,0.009058,0.992800,0.002658,0.000000,0.000110,38286.793120,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok
pipeline_interactive_b1000,3,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.027637,0.000074,0.027420,0.028578,0.000000,0.000056,0.000095,0.000000,0.000000,1.000000,0.992148,1.000000,0.000000,0.002025,36183.158715,1000000,529280,1000000,1026622357111743000,1,4005,754,2000,2000,0,0,0,ok
pipeline_interactive_b100,3,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,uniform,8,50000,10000,0.066561,0.000148,0.066305,0.223952,0.000000,0.000629,0.000081,0.000000,0.000000,1.000000,0.996146,1.000000,0.000000,0.009455,150237.188464,1000000,529280,1000000,1026622357111743000,1,40005,4946,20000,20000,0,0,0,ok
pipeline_interactive_b10000,3,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,uniform,8,50000,10000,0.026443,0.000071,0.026278,0.026280,0.000000,0.000006,0.000082,0.000000,0.000000,0.999847,0.993744,0.993848,0.000000,0.000229,3781.695286,1000000,529280,1000000,1026622357111743000,1,405,55,200,200,0,0,0,ok
seq,4,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.092328,0.000068,0.092181,0.000000,0.000000,0.000000,0.000079,0.000000,0.000000,0.001587,0.998412,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_1_reduce,4,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.092213,0.000068,0.092046,0.000000,0.000000,0.000000,0.000096,0.000000,0.000000,0.001778,0.998190,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
