case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
pipeline_interactive_b1000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.037972,0.000076,0.037751,0.039435,0.000000,0.000102,0.000095,0.000000,0.000000,1.000000,0.994169,1.000000,0.000000,0.002699,26334.992534,1000000,529280,1000000,1026622357111743000,1,4005,731,2000,2000,0,0,0,ok,default,0
pipeline_interactive_b100,2,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,skewed,8,50000,10000,0.069211,0.000181,0.068883,0.205498,0.000000,0.000631,0.000092,0.000000,0.000000,1.000000,0.995266,1.000000,0.000000,0.009114,144485.790819,1000000,529280,1000000,1026622357111743000,1,40005,4351,20000,20000,0,0,0,ok,default,0
pipeline_interactive_b10000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,skewed,8,50000,10000,0.037481,0.000074,0.037261,0.037132,0.000000,0.000023,0.000094,0.000000,0.000000,0.995786,0.994137,0.990699,0.000000,0.000610,2668.015544,1000000,529280,1000000,1026622357111743000,1,405,70,200,200,0,0,0,ok,default,0
seq,3,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.133335,0.000081,0.133175,0.000000,0.000000,0.000000,0.000079,0.000000,0.000000,0.001200,0.998798,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,3,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.131234,0.000077,0.131059,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.001303,0.998669,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,3,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.084053,0.000076,0.083882,0.000000,0.000000,0.000000,0.000091,0.000000,0.000000,0.001990,0.997958,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,3,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060741,0.000068,0.060579,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.002584,0.997335,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,3,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.035036,0.000083,0.034855,0.000000,0.000000,0.000000,0.000095,0.000000,0.000000,0.005079,0.994843,0.000000,0.000000,0.000004,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,3,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.192571,0.000074,0.192401,0.333783,0.000000,0.000000,0.000092,0.000000,0.000000,1.000000,0.999118,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_4_nosync,3,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.067354,0.000076,0.067188,0.000000,0.000000,0.000000,0.000085,0.000000,0.000000,0.002396,0.997544,0.000000,0.000000,0.000000,0.000000,423895,262788,599854,7634620441078310195,0,0,0,0,0,0,0,0,ok,default,0
