case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
hybrid_2x4_shm,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.022005,0.000076,0.000085,0.021753,0.000000,0.000000,0.000090,0.000000,0.000000,0.996128,0.003872,0.988561,0.000006,0.000008,90.888951,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
pipeline_final_b1000,2,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.027996,0.000096,0.027747,0.000088,0.000000,0.000004,0.000095,0.000000,0.000000,0.010112,0.991137,0.003142,0.000000,0.000147,35719.919256,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok,default,0
pipeline_interactive_b1000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.028874,0.000076,0.028663,0.030244,0.000000,0.000056,0.000103,0.000000,0.000000,1.000000,0.992687,1.000000,0.000000,0.001926,34632.733883,1000000,529280,1000000,1026622357111743000,1,4005,675,2000,2000,0,0,0,ok,default,0
pipeline_interactive_b100,2,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,uniform,8,50000,10000,0.056534,0.000135,0.056294,0.180158,0.000000,0.000632,0.000079,0.000000,0.000000,1.000000,0.995757,1.000000,0.000000,0.011170,176883.924347,1000000,529280,1000000,1026622357111743000,1,40005,3634,20000,20000,0,0,0,ok,default,0
pipeline_interactive_b10000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,uniform,8,50000,10000,0.030498,0.000082,0.030308,0.030161,0.000000,0.000012,0.000093,0.000000,0.000000,0.995034,0.993773,0.988924,0.000000,0.000388,3278.867734,1000000,529280,1000000,1026622357111743000,1,405,86,200,200,0,0,0,ok,default,0
seq,3,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.096030,0.000081,0.095866,0.000000,0.000000,0.000000,0.000083,0.000000,0.000000,0.001709,0.998290,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,3,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.095922,0.000069,0.095759,0.000000,0.000000,0.000000,0.000091,0.000000,0.000000,0.001667,0.998302,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,3,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.048801,0.000086,0.048619,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.003672,0.996265,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,3,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026394,0.000068,0.026230,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.006103,0.993783,0.000000,0.000000,0.000005,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,3,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.022164,0.000082,0.021989,0.000000,0.000000,0.000000,0.000091,0.000000,0.000000,0.007779,0.992076,0.000000,0.000000,0.000013,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,3,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.175322,0.000068,0.175157,0.360087,0.000000,0.000000,0.000094,0.000000,0.000000,1.000000,0.999058,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_4_nosync,3,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.028914,0.000068,0.028748,0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.005609,0.994269,0.000000,0.000000,0.000001,0.000000,541095,321537,740370,15140541216579029382,0,0,0,0,0,0,0,0,ok,default,0
process_1_pipe,3,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.096289,0.000071,0.000034,0.096096,0.000002,0.000000,0.000086,0.000000,0.000000,0.999643,0.000357,0.997993,0.000020,0.000000,10.385393,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_1_shm,3,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.095587,0.000083,0.000033,0.095386,0.000000,0.000000,0.000086,0.000000,0.000000,0.999653,0.000347,0.997889,0.000001,0.000000,10.461637,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_2_pipe,3,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.048729,0.000068,0.000059,0.048511,0.000001,0.000000,0.000090,0.000000,0.000000,0.998780,0.001220,0.995513,0.000026,0.000002,41.043111,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_2_shm,3,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.048909,0.000070,0.000053,0.048701,0.000000,0.000000,0.000086,0.000000,0.000000,0.998925,0.001075,0.995740,0.000002,0.000002,40.892200,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_4_pipe,3,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.082233,0.000068,0.000146,0.081929,0.000003,0.000000,0.000087,0.000000,0.000000,0.998228,0.001772,0.996304,0.000036,0.000001,48.642100,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
